tf,arrow,score_display,bull_score,bear_score,label
MN1,•,0,0,0,NEUTRE
W1,↓,4,0,4,SHORT
D1,↓,4,0,4,SHORT
H4,•,2,2,1,NEUTRE
H1,↓,3,1,3,SHORT
M30,↓,3,1,3,SHORT
