cfg,tp_cp,tp1_fraction,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,trend_enabled,trend_d,trend_p,trend_rr,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00017_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3910,0,3910,0.19974424552429668,-0.14351577270882243,0.5337340431984353,-561.1466712914957,0.0,0.0,-0.14351577270882243,0.5337340431984353,-1.0,0.0,0.5745428238971454,0.3593350383631714,0.5820971867007673,0.058567774936061384,0.0
C00044_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3910,0,3910,0.19974424552429668,-0.14351577270882243,0.5337340431984353,-561.1466712914957,0.0,0.0,-0.14351577270882243,0.5337340431984353,-1.0,0.0,0.5745428238971454,0.3593350383631714,0.5820971867007673,0.058567774936061384,0.0
C00130_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4820,0,4820,0.19605809128630705,-0.14703506915169118,0.5334953315224812,-708.7090333111515,0.0,0.0,-0.14703506915169118,0.5334953315224812,-1.0,0.0,0.6221227797489,0.3620331950207469,0.5838174273858922,0.054149377593361,0.0
C00157_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4820,0,4820,0.19605809128630705,-0.14703506915169118,0.5334953315224812,-708.7090333111515,0.0,0.0,-0.14703506915169118,0.5334953315224812,-1.0,0.0,0.6221227797489,0.3620331950207469,0.5838174273858922,0.054149377593361,0.0
C00131_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3902,0,3902,0.19707842132239878,-0.1445748638212784,0.5320750496542253,-564.1311186306283,0.0,0.0,-0.1445748638212784,0.5320750496542253,-1.0,0.0,0.5789737179648758,0.3575089697590979,0.5861096873398257,0.056381342901076374,0.0
C00158_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3902,0,3902,0.19707842132239878,-0.1445748638212784,0.5320750496542253,-564.1311186306283,0.0,0.0,-0.1445748638212784,0.5320750496542253,-1.0,0.0,0.5789737179648758,0.3575089697590979,0.5861096873398257,0.056381342901076374,0.0
C00076_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4820,0,4820,0.19605809128630705,-0.1472812074709258,0.5320528012231661,-709.8954200098623,0.0,0.0,-0.1472812074709258,0.5320528012231661,-1.0,0.0,0.6180716375844058,0.3620331950207469,0.5838174273858922,0.054149377593361,0.0
C00103_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4820,0,4820,0.19605809128630705,-0.1472812074709258,0.5320528012231661,-709.8954200098623,0.0,0.0,-0.1472812074709258,0.5320528012231661,-1.0,0.0,0.6180716375844058,0.3620331950207469,0.5838174273858922,0.054149377593361,0.0
C00077_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3902,0,3902,0.19707842132239878,-0.14478670527902737,0.53061550362273,-564.9577239987648,0.0,0.0,-0.14478670527902737,0.53061550362273,-1.0,0.0,0.5739211906673258,0.3575089697590979,0.5861096873398257,0.056381342901076374,0.0
C00104_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3902,0,3902,0.19707842132239878,-0.14478670527902737,0.53061550362273,-564.9577239987648,0.0,0.0,-0.14478670527902737,0.53061550362273,-1.0,0.0,0.5739211906673258,0.3575089697590979,0.5861096873398257,0.056381342901076374,0.0
C00022_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4820,0,4820,0.19605809128630705,-0.14752734579016036,0.5306061803807572,-711.0818067085729,0.0,0.0,-0.14752734579016036,0.5306061803807572,-1.0,0.0,0.610742164206907,0.3620331950207469,0.5838174273858922,0.054149377593361,0.0
C00049_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4820,0,4820,0.19605809128630705,-0.14752734579016036,0.5306061803807572,-711.0818067085729,0.0,0.0,-0.14752734579016036,0.5306061803807572,-1.0,0.0,0.610742164206907,0.3620331950207469,0.5838174273858922,0.054149377593361,0.0
C00023_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3902,0,3902,0.19707842132239878,-0.14499854673677637,0.5291511287454964,-565.7843293669014,0.0,0.0,-0.14499854673677637,0.5291511287454964,-1.0,0.0,0.568650793831416,0.3575089697590979,0.5861096873398257,0.056381342901076374,0.0
C00050_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3902,0,3902,0.19707842132239878,-0.14499854673677637,0.5291511287454964,-565.7843293669014,0.0,0.0,-0.14499854673677637,0.5291511287454964,-1.0,0.0,0.568650793831416,0.3575089697590979,0.5861096873398257,0.056381342901076374,0.0
C00133_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4218,0,4218,0.19535324798482692,-0.14966726511996992,0.5286755519803207,-631.2965242760331,0.0,0.0,-0.14966726511996992,0.5286755519803207,-1.0,0.0,0.6057444668286537,0.362968231389284,0.5806069227121858,0.056424845898530106,0.0
