set,keep_frac,n_trades,avg_r,sum_r,pf,winrate,conf_threshold
TRAIN_FILTERED,0.20000350729517397,22810,0.00022883914855355487,5.219820978506586,1.0834647651872449,0.5756685664182376,0.03050768987048612
VAL_FILTERED,0.2,7008,0.00011248414022328215,0.7882888546847613,1.0750329841000381,0.5813356164383562,0.029840963151356995
TEST_BASELINE,1.0,74038,-2.9287113184664843e-05,-2.1683592859662157,0.982533783439011,0.5157891893352062,1.0116922827263508e-06
TEST_FILTERED,0.20000540263108132,14808,5.6177078088294885e-05,0.8318701723314706,1.029701234467356,0.5453133441383036,0.03277698458896505
