cfg,mr_tp1_cp,mr_be_offset_r,tp_cp,tp1_fraction,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,trend_enabled,trend_d,trend_p,trend_rr,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00008_US_15_16_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.50_rr1.20_cp0.20_0.80_md0.20_ap0.90_mg15_tp1cp0.45_be0.20_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.45,0.2,0.6,0.5,1.8,True,20,TREND_FIRST,0.5,1.2,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16,"15,16",15,201,0,201,0.34328358208955223,-0.020197357241891114,0.9298409965030145,-4.059668805620114,0.0,0.0,-0.020197357241891114,0.9298409965030145,-1.0,0.0,0.740740740740616,0.3781094527363184,0.5572139303482587,0.06467661691542288,0.0
C00004_US_15_16_tp20.58_tp1f0.50_sl1.8_high1_t20_d0.50_rr1.20_cp0.20_0.80_md0.20_ap0.90_mg15_tp1cp0.45_be0.20_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.45,0.2,0.58,0.5,1.8,True,20,TREND_FIRST,0.5,1.2,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16,"15,16",15,201,0,201,0.32338308457711445,-0.02218740699313488,0.9229282154998097,-4.459668805620111,0.0,0.0,-0.02218740699313488,0.9229282154998097,-1.0,0.0,0.740740740740616,0.3582089552238806,0.5771144278606966,0.06467661691542288,0.0
C00007_US_15_16_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.50_rr1.20_cp0.20_0.80_md0.20_ap0.90_mg15_tp1cp0.45_be0.10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.45,0.1,0.6,0.5,1.8,True,20,TREND_FIRST,0.5,1.2,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16,"15,16",15,201,0,201,0.34328358208955223,-0.026416262714528408,0.9084758133650119,-5.30966880562021,0.0,0.0,-0.026416262714528408,0.9084758133650119,-1.0,0.0,0.740740740740616,0.3781094527363184,0.5572139303482587,0.06467661691542288,0.0
C00003_US_15_16_tp20.58_tp1f0.50_sl1.8_high1_t20_d0.50_rr1.20_cp0.20_0.80_md0.20_ap0.90_mg15_tp1cp0.45_be0.10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.45,0.1,0.58,0.5,1.8,True,20,TREND_FIRST,0.5,1.2,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16,"15,16",15,201,0,201,0.32338308457711445,-0.027411287590150074,0.905028359673057,-5.509668805620165,0.0,0.0,-0.027411287590150074,0.905028359673057,-1.0,0.0,0.740740740740616,0.3582089552238806,0.5771144278606966,0.06467661691542288,0.0
C00006_US_15_16_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.45_rr1.20_cp0.20_0.80_md0.20_ap0.90_mg15_tp1cp0.45_be0.20_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.45,0.2,0.6,0.5,1.8,True,20,TREND_FIRST,0.45,1.2,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16,"15,16",15,245,0,245,0.3183673469387755,-0.0301212814201641,0.8944615207544698,-7.379713947940205,0.0,0.0,-0.0301212814201641,0.8944615207544698,-1.0,0.0,0.7732102428837879,0.3551020408163265,0.5755102040816327,0.06938775510204082,0.0
C00002_US_15_16_tp20.58_tp1f0.50_sl1.8_high1_t20_d0.45_rr1.20_cp0.20_0.80_md0.20_ap0.90_mg15_tp1cp0.45_be0.20_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.45,0.2,0.58,0.5,1.8,True,20,TREND_FIRST,0.45,1.2,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16,"15,16",15,245,0,245,0.3020408163265306,-0.03175393448138857,0.8887410562492034,-7.7797139479402,0.0,0.0,-0.03175393448138857,0.8887410562492034,-1.0,0.0,0.7732102428837879,0.33877551020408164,0.5918367346938775,0.06938775510204082,0.0
C00005_US_15_16_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.45_rr1.20_cp0.20_0.80_md0.20_ap0.90_mg15_tp1cp0.45_be0.10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.45,0.1,0.6,0.5,1.8,True,20,TREND_FIRST,0.45,1.2,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16,"15,16",15,245,0,245,0.3183673469387755,-0.03542740386914408,0.8761357215654482,-8.6797139479403,0.0,0.0,-0.03542740386914408,0.8761357215654482,-1.0,0.0,0.7732102428837879,0.3551020408163265,0.5755102040816327,0.06938775510204082,0.0
C00001_US_15_16_tp20.58_tp1f0.50_sl1.8_high1_t20_d0.45_rr1.20_cp0.20_0.80_md0.20_ap0.90_mg15_tp1cp0.45_be0.10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.45,0.1,0.58,0.5,1.8,True,20,TREND_FIRST,0.45,1.2,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16,"15,16",15,245,0,245,0.3020408163265306,-0.03624373039975613,0.8732816118752569,-8.879713947940253,0.0,0.0,-0.03624373039975613,0.8732816118752569,-1.0,0.0,0.7732102428837879,0.33877551020408164,0.5918367346938775,0.06938775510204082,0.0
