cfg,tp_cp,tp1_fraction,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,trend_enabled,trend_d,trend_p,trend_rr,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00003_US_15_16_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg15_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16,"15,16",15,549,0,549,0.20765027322404372,-0.09667195115579183,0.670558880802988,-53.07290118452971,0.0,0.0,-0.09667195115579183,0.670558880802988,-1.0,0.0,0.6566544816015745,0.36247723132969034,0.5646630236794171,0.07285974499089254,0.0
C00001_US_15_16_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16,"15,16",5,914,0,914,0.20678336980306344,-0.10799835135550415,0.6295796467428844,-98.71049313893079,0.0,0.0,-0.10799835135550415,0.6295796467428844,-1.0,0.0,0.6227379891242991,0.3533916849015317,0.5776805251641138,0.06892778993435449,0.0
C00004_US_16_18_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_16_18,"16,18",5,1098,0,1098,0.20127504553734063,-0.10912033128259073,0.6281420859503822,-119.81412374828462,0.0,0.0,-0.10912033128259073,0.6281420859503822,-1.0,0.0,0.650592426829347,0.33060109289617484,0.604735883424408,0.06466302367941712,0.0
C00007_US_15_16_18_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16_18,"15,16,18",5,1515,0,1515,0.20132013201320131,-0.11048935984738435,0.6264114604511118,-167.3913801687873,0.0,0.0,-0.11048935984738435,0.6264114604511118,-1.0,0.0,0.6357049309279986,0.3458745874587459,0.592079207920792,0.062046204620462043,0.0
C00009_US_15_16_18_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg15_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16_18,"15,16,18",15,882,0,882,0.2018140589569161,-0.1084333445918417,0.625119720245097,-95.63820993000438,0.0,0.0,-0.1084333445918417,0.625119720245097,-1.0,0.0,0.592446151574297,0.3412698412698413,0.5918367346938775,0.06689342403628118,0.0
C00006_US_16_18_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg15_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_16_18,"16,18",15,629,0,629,0.1987281399046105,-0.1097067979538925,0.6083499850917945,-69.00557591299838,0.0,0.0,-0.1097067979538925,0.6083499850917945,-1.0,0.0,0.5506764956991671,0.3195548489666137,0.6120826709062003,0.06836248012718601,0.0
C00002_US_15_16_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16,"15,16",10,741,0,741,0.19433198380566802,-0.12074003098133561,0.6000661051414986,-89.46836295716969,0.0,0.0,-0.12074003098133561,0.6000661051414986,-1.0,0.0,0.592238923273419,0.36707152496626183,0.5668016194331984,0.06612685560053981,0.0
C00008_US_15_16_18_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16_18,"15,16,18",10,1212,0,1212,0.19554455445544555,-0.12480598270058656,0.580680698802932,-151.26485103311092,0.0,0.0,-0.12480598270058656,0.580680698802932,-1.0,0.0,0.592446151574297,0.3465346534653465,0.5915841584158416,0.06188118811881188,0.0
C00005_US_16_18_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_16_18,"16,18",10,871,0,871,0.19632606199770378,-0.1244663878267875,0.5744335088727742,-108.4102237971319,0.0,0.0,-0.1244663878267875,0.5744335088727742,-1.0,0.0,0.594583963319413,0.32721010332950634,0.6073478760045924,0.06544202066590127,0.0
