set,keep_frac,n_trades,avg_r,sum_r,pf,winrate,conf_threshold
TRAIN_FILTERED,0.20000350729517397,22810,-0.0003427572586833961,-7.818293070568265,0.8653329868382988,0.5167470407715914,0.031470419711309754
VAL_FILTERED,0.2,7008,-0.0004901751952937343,-3.4351477686184904,0.6952473570072187,0.4750285388127854,0.03147559080625504
TEST_BASELINE,1.0,74039,-0.0005659210829992757,-41.90023106418337,0.6754378943463281,0.4302597279811991,1.2512987623836125e-07
TEST_FILTERED,0.20000270127905564,14808,-0.0004985464159828757,-7.382475327874424,0.7377566535072173,0.46555915721231766,0.03395982188708668
