set,keep_frac,n_trades,avg_r,sum_r,pf,winrate,conf_threshold
TRAIN_FILTERED,0.20000350729517397,22810,0.00027883914855355484,6.360320978506586,1.1024912828444533,0.5790442788250767,0.03050768987048612
VAL_FILTERED,0.2,7008,0.00016248414022328208,1.1386888546847609,1.1099119596688067,0.58675799086758,0.029840963151356995
TEST_BASELINE,1.0,74038,2.071288681533513e-05,1.5335407140337822,1.0125323302576192,0.5228936492071639,1.0116922827263508e-06
TEST_FILTERED,0.20000540263108132,14808,0.00010617707808829487,1.5722701723314705,1.0568147443961937,0.5516612641815235,0.03277698458896505
