cfg,trend_d,trend_p,trend_rr,trend_sl_atr,trend_tp_r,trend_time_stop,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00007_US_15_16_mg10_d0.25_p0.60_rr1.10_sl1.00_tp2.50_t45,0.25,0.6,1.1,1.0,2.5,45,US_15_16,"15,16",10,163,163,0,0.12269938650306748,-0.5705521472392628,0.34965034965035074,-92.99999999999984,-1.0,-1.0,2.499999999999976,0.8773006134969326,0.12269938650306748,0.0,0.0
C00008_US_15_16_mg10_d0.25_p0.60_rr1.10_sl1.00_tp2.50_t60,0.25,0.6,1.1,1.0,2.5,60,US_15_16,"15,16",10,163,163,0,0.12269938650306748,-0.5705521472392628,0.34965034965035074,-92.99999999999984,-1.0,-1.0,2.499999999999976,0.8773006134969326,0.12269938650306748,0.0,0.0
C00051_US_15_16_mg15_d0.30_p0.60_rr0.90_sl1.00_tp2.50_t45,0.3,0.6,0.9,1.0,2.5,45,US_15_16,"15,16",15,147,147,0,0.12244897959183673,-0.5714285714285721,0.3488372093023248,-84.0000000000001,-1.0,-1.0,2.4999999999999676,0.8775510204081632,0.12244897959183673,0.0,0.0
C00052_US_15_16_mg15_d0.30_p0.60_rr0.90_sl1.00_tp2.50_t60,0.3,0.6,0.9,1.0,2.5,60,US_15_16,"15,16",15,147,147,0,0.12244897959183673,-0.5714285714285721,0.3488372093023248,-84.0000000000001,-1.0,-1.0,2.4999999999999676,0.8775510204081632,0.12244897959183673,0.0,0.0
C00017_US_15_16_mg10_d0.30_p0.60_rr0.90_sl1.00_tp2.00_t45,0.3,0.6,0.9,1.0,2.0,45,US_15_16,"15,16",10,190,190,0,0.14736842105263157,-0.5578947368421052,0.345679012345679,-106.0,-1.0,-1.0,2.0,0.8526315789473684,0.14736842105263157,0.0,0.0
C00018_US_15_16_mg10_d0.30_p0.60_rr0.90_sl1.00_tp2.00_t60,0.3,0.6,0.9,1.0,2.0,60,US_15_16,"15,16",10,190,190,0,0.14736842105263157,-0.5578947368421052,0.345679012345679,-106.0,-1.0,-1.0,2.0,0.8526315789473684,0.14736842105263157,0.0,0.0
C00001_US_15_16_mg10_d0.25_p0.60_rr0.90_sl1.00_tp2.00_t45,0.25,0.6,0.9,1.0,2.0,45,US_15_16,"15,16",10,228,228,0,0.14473684210526316,-0.5657894736842105,0.3384615384615385,-129.0,-1.0,-1.0,2.0,0.8552631578947368,0.14473684210526316,0.0,0.0
C00002_US_15_16_mg10_d0.25_p0.60_rr0.90_sl1.00_tp2.00_t60,0.25,0.6,0.9,1.0,2.0,60,US_15_16,"15,16",10,228,228,0,0.14473684210526316,-0.5657894736842105,0.3384615384615385,-129.0,-1.0,-1.0,2.0,0.8552631578947368,0.14473684210526316,0.0,0.0
C00043_US_15_16_mg15_d0.25_p0.65_rr0.90_sl1.00_tp2.50_t45,0.25,0.65,0.9,1.0,2.5,45,US_15_16,"15,16",15,161,161,0,0.11801242236024845,-0.5869565217391313,0.3345070422535203,-94.50000000000013,-1.0,-1.0,2.49999999999996,0.8819875776397516,0.11801242236024845,0.0,0.0
C00044_US_15_16_mg15_d0.25_p0.65_rr0.90_sl1.00_tp2.50_t60,0.25,0.65,0.9,1.0,2.5,60,US_15_16,"15,16",15,161,161,0,0.11801242236024845,-0.5869565217391313,0.3345070422535203,-94.50000000000013,-1.0,-1.0,2.49999999999996,0.8819875776397516,0.11801242236024845,0.0,0.0
