set,keep_frac,n_trades,avg_r,sum_r,pf,winrate,conf_threshold
TRAIN_FILTERED,0.20000350729517397,22810,2.8839148553554748e-05,0.6578209785065838,1.010196050812416,0.556554142919772,0.03050768987048612
VAL_FILTERED,0.2,7008,-8.751585977671798e-05,-0.6133111453152396,0.944831872927482,0.5463755707762558,0.029840963151356995
TEST_BASELINE,1.0,74038,-0.00022928711318466493,-16.975959285966223,0.8709254840733078,0.4880601853102461,1.0116922827263508e-06
TEST_FILTERED,0.20000540263108132,14808,-0.00014382292191170523,-2.129729827668531,0.9275302953368847,0.5222852512155591,0.03277698458896505
