feature,coef
vwap_dist,0.04970805077689302
hour_utc,0.04125066758338716
cvd_ret1_z,0.040452037891781
delta_norm,0.039495603850958245
cvd_proxy,0.037564791902951
bias,0.03272603048605683
kc_width,0.03247819481112952
ema50_200_spread,0.03134176934656738
ema20_50_spread_m1,0.020029156333351235
price_slope_8,0.019576163467114154
trend_score_h1,0.01899129132082785
div_cvd_price_3,0.018791966199359928
squeeze_ratio,0.01738308429339517
price_slope_3,0.016626702358954575
slope50_norm_h1,0.014645987660523644
body_pct,0.014570867800696646
close_pos,0.012552321566087593
delta_aggr,0.009737906327938629
cvd_ret1,0.00971750542743913
aggr_buy,0.007397576349986272
is_ll,0.007134081917775102
atr_pct_pctl_h1,0.007030795063368067
hh_hl_state,0.005894681698657498
aggr_sell,0.004465696372348763
div_cvd_price_8,0.003911594629263331
minute_utc,0.003829710501279919
atr14,0.002294241545035715
bb_width,-0.002779304315804396
is_hh,-0.004956243793297059
er_h1,-0.005444922635458964
cvd_slope_8,-0.007526271212807618
vol_state_code,-0.010069343590118482
ret1,-0.011868731646678399
range_pct,-0.011920615346707448
range_rel,-0.014395159911427313
router_mode_code,-0.016286477759740393
cvd_slope_3,-0.01818885170009337
bb_pos,-0.037058641305801686
ema20_50_spread,-0.044193347755116345
ema50_200_spread_m1,-0.05411492706136101
delta_aggr_norm,-0.06190372569950132
dir_state_code,-0.12830898918688713
vwap_dist_z,-0.14078455898528644
