set,keep_frac,n_trades,avg_r,sum_r,pf,winrate,conf_threshold
TRAIN_FILTERED,0.20000350729517397,22810,-0.0003490107648713952,-7.960935546716524,0.8282210312989282,0.5116177115300307,0.03818850278635462
VAL_FILTERED,0.2,7008,-0.0005133005476339847,-3.5972102378189645,0.6269810831963096,0.4570490867579909,0.03869844555582097
TEST_BASELINE,1.0,74040,-0.0005696694389620403,-42.17832526074947,0.6189368825811371,0.4149243652079957,2.2813165512225453e-07
TEST_FILTERED,0.2,14808,-0.00047227894666078483,-6.9935066421529015,0.6986879798597049,0.4560372771474878,0.04026946319351445
