set,n_samples,accuracy,macro_f1,class_dist
TRAIN,170,0.6,0.24999999999999997,"RANGE:102,TREND_UP:47,TREND_DOWN:21"
VAL,52,0.7884615384615384,0.2939068100358423,"RANGE:41,TREND_UP:11"
TEST,103,0.8252427184466019,0.30141843971631205,"RANGE:85,TREND_UP:17,TREND_DOWN:1"
