set,keep_frac,n_trades,avg_r,sum_r,pf,winrate,conf_threshold
TRAIN_FILTERED,0.20000350729517397,22810,-0.0003211608514464451,-7.325679021493412,0.892563113804948,0.525032880315651,0.03050768987048612
VAL_FILTERED,0.2,7008,-0.0004375158597767178,-3.0661111453152383,0.7507399647292036,0.4887271689497717,0.029840963151356995
TEST_BASELINE,1.0,74038,-0.0005792871131846648,-42.88925928596621,0.705053118414977,0.43981468975391014,1.0116922827263508e-06
TEST_FILTERED,0.20000540263108132,14808,-0.0004938229219117051,-7.312529827668529,0.7712542704947541,0.4814964883846569,0.03277698458896505
