ts,open,high,low,close
2019-09-30 00:00:00+00:00,8285.31,8499.0,7760.0,7852.79
2019-10-07 00:00:00+00:00,7851.01,8788.0,7764.42,8274.66
2019-10-14 00:00:00+00:00,8274.33,8408.62,7812.0,8218.23
2019-10-21 00:00:00+00:00,8218.23,10408.48,7172.76,9533.32
2019-10-28 00:00:00+00:00,9534.37,9930.13,8933.0,9197.88
2019-11-04 00:00:00+00:00,9197.86,9550.0,8669.85,9041.31
2019-11-11 00:00:00+00:00,9041.31,9072.91,8355.78,8504.04
2019-11-18 00:00:00+00:00,8504.13,8504.71,6762.73,6900.86
2019-11-25 00:00:00+00:00,6899.77,7850.0,6510.19,7387.38
2019-12-02 00:00:00+00:00,7388.0,7800.0,7070.0,7508.2
2019-12-09 00:00:00+00:00,7507.87,7676.48,7004.77,7115.0
2019-12-16 00:00:00+00:00,7115.45,7517.61,6427.0,7502.92
2019-12-23 00:00:00+00:00,7502.92,7691.0,7078.89,7383.67
2019-12-30 00:00:00+00:00,7383.68,7495.0,6863.44,7354.36
2020-01-06 00:00:00+00:00,7354.36,8468.42,7345.0,8186.7
2020-01-13 00:00:00+00:00,8186.22,9205.3,8053.78,8705.85
2020-01-20 00:00:00+00:00,8705.98,8820.0,8247.0,8611.21
2020-01-27 00:00:00+00:00,8611.21,9599.0,8565.0,9338.2
2020-02-03 00:00:00+00:00,9340.49,10184.34,9105.0,10167.38
2020-02-10 00:00:00+00:00,10167.37,10540.0,9626.64,9921.86
2020-02-17 00:00:00+00:00,9921.87,10286.0,9293.07,9943.12
2020-02-24 00:00:00+00:00,9943.12,10000.0,8409.0,8537.84
2020-03-02 00:00:00+00:00,8537.84,9204.0,7997.7,8038.46
2020-03-09 00:00:00+00:00,8038.99,8182.31,3621.81,5357.32
2020-03-16 00:00:00+00:00,5354.81,6911.0,4413.62,5810.17
2020-03-23 00:00:00+00:00,5810.3,6960.71,5670.0,5876.27
2020-03-30 00:00:00+00:00,5876.27,7290.0,5850.0,6768.9
2020-04-06 00:00:00+00:00,6768.9,7457.0,6741.0,6900.52
2020-04-13 00:00:00+00:00,6900.19,7290.0,6465.33,7118.03
2020-04-20 00:00:00+00:00,7118.04,7802.38,6735.95,7694.17
2020-04-27 00:00:00+00:00,7693.63,9479.77,7623.98,8900.0
2020-05-04 00:00:00+00:00,8899.99,10080.0,7940.0,8719.53
2020-05-11 00:00:00+00:00,8723.23,9950.0,8151.12,9678.57
2020-05-18 00:00:00+00:00,9677.31,9958.67,8674.0,8711.37
2020-05-25 00:00:00+00:00,8711.37,9753.0,8623.38,9446.43
2020-06-01 00:00:00+00:00,9446.49,10497.25,9264.15,9743.92
2020-06-08 00:00:00+00:00,9743.92,10015.99,9055.07,9339.61
2020-06-15 00:00:00+00:00,9339.7,9595.0,8888.43,9293.51
2020-06-22 00:00:00+00:00,9293.39,9795.0,8816.4,9114.0
2020-06-29 00:00:00+00:00,9114.01,9293.0,8900.0,9071.86
2020-07-06 00:00:00+00:00,9071.87,9470.0,9058.1,9300.69
