set,keep_frac,n_trades,avg_r,sum_r,pf,winrate,p_threshold
TEST_BASELINE,1.0,205,-0.12853452393700857,-26.349577407086755,0.5363499136420312,0.18536585365853658,
TEST_FILTERED,0.6390243902439025,131,-0.13777717676201284,-18.04881015582368,0.47868441489791824,0.15267175572519084,0.24373512768594943
TRAIN_BASELINE,1.0,247,-0.10422365951486962,-25.743243900172796,0.6398599238729581,0.2145748987854251,
VAL_BASELINE,1.0,97,-0.010103916260517086,-0.9800798772701573,0.9701084625869725,0.23711340206185566,
VAL_FILTERED,0.5051546391752577,49,-0.12425071612239551,-6.08828508999738,0.6172900570894885,0.20408163265306123,0.24373512768594943
