set,keep_frac,n_trades,avg_r,sum_r,pf,winrate,conf_threshold
TRAIN_FILTERED,0.20000350729517397,22810,-0.000406591387338431,-9.274349545189612,0.8347224022195281,0.4797895659798334,0.009959048425168348
VAL_FILTERED,0.2,7008,-0.0004340863946727487,-3.042077453866623,0.6781212358653065,0.4266552511415525,0.009606981755410415
TEST_BASELINE,1.0,74040,-0.0005753484007337457,-42.59879559032653,0.617173115131206,0.407117774176121,2.87230115247894e-08
TEST_FILTERED,0.2,14808,-0.0005473931176053602,-8.105797285500174,0.6790478146659019,0.4342247433819557,0.010076653671739134
