set,keep_frac,n_trades,avg_r,sum_r,pf,winrate,conf_threshold
TRAIN_FILTERED,0.20000350729517397,22810,-0.00015734103439803336,-3.588948994619141,0.9554880166112178,0.5370451556334941,0.035615092440453994
VAL_FILTERED,0.2,7008,-0.0002995962181331156,-2.099570296676874,0.8457159295556561,0.5138413242009132,0.03298018319438064
TEST_BASELINE,1.0,74036,-0.0005927269496821015,-43.88313244666407,0.7468606036257086,0.4529283051488465,6.74804388478556e-07
TEST_FILTERED,0.2000108055540548,14808,-0.0003870377157325133,-5.731254494567057,0.8402873103040827,0.4881820637493247,0.03521276989503175
