feature,coef
slope50_norm_h1,0.036949900003577146
hour_utc,0.03178362681672996
ema50_200_spread,0.03162147191864199
trend_score_h1,0.019275624466337148
bias,0.01896242068113699
range_pct,0.014062088528424116
body_pct,0.011867304729585559
minute_utc,0.005728475966613369
vol_state_code,0.004911672296565312
atr_pct_pctl_h1,-0.002945900554428271
atr14,-0.004262082025652237
router_mode_code,-0.004399125140757834
er_h1,-0.006997073897092802
range_rel,-0.007104212426223976
delta_norm,-0.019754782633177995
ema20_50_spread,-0.03609034029237036
close_pos,-0.0402233697297431
dir_state_code,-0.0646047776374442
ret1,-0.0674402554638593
