set,n_trades,avg_r,sum_r,pf,winrate,keep_frac,threshold
TRAIN_FILTERED,342144,6.302617426242403e-05,21.564027366842808,1.038232299421514,0.5164667508417509,1.0,0.5
VAL_FILTERED,105120,5.695026805734354e-05,5.986612178187953,1.0622626856431687,0.5175894216133942,1.0,0.5
TEST_BASELINE,222122,1.6374472063630664e-05,3.6371304837177703,1.0139200588510688,0.5095983288463097,1.0,0.5
TEST_FILTERED,222122,1.6374472063630664e-05,3.6371304837177703,1.0139200588510688,0.5095983288463097,1.0,0.5
