set,keep_frac,n_trades,avg_r,sum_r,pf,winrate,p_threshold
TEST_BASELINE,1.0,205,-0.12853452393700857,-26.349577407086755,0.5363499136420312,0.18536585365853658,
TEST_FILTERED,0.5,103,-0.13470596921910033,-13.874714829567335,0.4926056164363272,0.13592233009708737,0.23275964245547617
TEST_FILTERED,0.4,82,-0.10105161661543863,-8.286232562465967,0.5848180728054095,0.14634146341463414,0.25171908103822954
TEST_FILTERED,0.3,62,-0.03127296562996711,-1.9389238690579609,0.8470482134032673,0.16129032258064516,0.26882925316258993
TEST_FILTERED,0.2,41,-0.13553731288195925,-5.55702982816033,0.4795180179077304,0.12195121951219512,0.2932887252117817
TRAIN_BASELINE,1.0,344,-0.07768408074838068,-26.723323777442953,0.7437080418084926,0.22093023255813954,
