rp_bucket,n,mean_h4,p05_h4,win_h4
"[0.18, 0.2)",19,0.0002757181287830786,-0.0014987745979080035,0.2631578947368421
"[0.16, 0.18)",13,-0.0005443679251676633,-0.002595697130776342,0.15384615384615385
"[0.22, 0.24)",13,0.00015578146371952872,-0.004227419190961856,0.23076923076923078
"[0.2, 0.22)",13,-0.001127633802904311,-0.00674907538602405,0.23076923076923078
"[0.14, 0.16)",9,0.00020181655737071412,-0.0010293701219403761,0.4444444444444444
"[0.24, 0.26)",3,-0.0005925919341570977,-0.0015999982222241638,0.0
