dir_state,n,mean_h4,p05_h4,win_h4,mean_dir_score
BEAR,23,-0.0005953788828294898,-0.004800093203330591,0.43478260869565216,-0.5900745367387591
BULL,15,-4.9328764717326835e-05,-0.0038927861768874193,0.4666666666666667,0.5484731564957336
NEUTRAL,32,0.0,-0.0,0.0,-0.09756013368204886
