n,wr,mean_R,median_R,pf_R,p05_R,p95_R,min_R,H,ATR_LEN,SL_K,TP_R,n_sl,n_tp,n_time,n_skip_atr
23.0,0.4782608695652174,0.07608695652173762,-1.0,1.1458333333333306,-1.0,1.2500000000000249,-1.0,16.0,14.0,1.0,1.25,12.0,11.0,0.0,0.0
23.0,0.43478260869565216,0.021822805691112106,-1.0,1.03860957929966,-1.0,1.50000000000003,-1.0,16.0,14.0,1.0,1.5,13.0,9.0,1.0,0.0
23.0,0.43478260869565216,0.08006884710402272,-1.0,1.141660267953271,-1.0,1.7500000000000158,-1.0,16.0,14.0,1.0,1.75,13.0,8.0,2.0,0.0
23.0,0.43478260869565216,0.1097161002095722,-1.0,1.1941131003707817,-1.0,2.0,-1.0,16.0,14.0,1.0,2.0,13.0,7.0,3.0,0.0
23.0,0.34782608695652173,-0.0968056389208635,-1.0,0.8515646869880094,-1.0,2.2499999999999853,-1.0,16.0,14.0,1.0,2.25,15.0,5.0,3.0,0.0
23.0,0.34782608695652173,-0.04245781283390866,-1.0,0.93489802032134,-1.0,2.499999999999997,-1.0,16.0,14.0,1.0,2.5,15.0,5.0,3.0,0.0
