sig_i,entry_i,exit_i,sig_t,entry_t,exit_t,hour_utc,date_utc,dir_state,dir_score,range_pctl,rp_bucket,entry,sl,tp,exit,reason,risk,pnl,R,MAE_R,MFE_R
221,222,224,2026-01-05 07:30:00+00:00,2026-01-05 07:45:00+00:00,2026-01-05 08:15:00+00:00,7,2026-01-05,BEAR,-0.4619572800949796,0.0798611111111111,"[0.06,0.08)",92511.3,92675.12142857144,92183.65714285713,92675.12142857144,SL,163.8214285714348,-163.8214285714348,-1.0,1.4320470896009385,0.13246130368430245
223,224,227,2026-01-05 08:00:00+00:00,2026-01-05 08:15:00+00:00,2026-01-05 09:00:00+00:00,8,2026-01-05,BEAR,-0.40651721799313373,0.006944444444444444,"[0.00,0.02)",92612.6,92763.52857142857,92310.74285714288,92310.74285714288,TP,150.9285714285652,301.8571428571304,2.0,0.8831992427827327,2.124183625177599
295,296,303,2026-01-06 02:00:00+00:00,2026-01-06 02:15:00+00:00,2026-01-06 04:00:00+00:00,2,2026-01-06,BEAR,-0.3513865819503185,0.041666666666666664,"[0.04,0.06)",93708.5,93921.37857142858,93282.74285714285,93921.37857142858,SL,212.87857142857683,-212.87857142857683,-1.0,1.1410260712008296,1.1339798006911495
296,297,301,2026-01-06 02:15:00+00:00,2026-01-06 02:30:00+00:00,2026-01-06 03:30:00+00:00,2,2026-01-06,BEAR,-0.4440301043414296,0.06944444444444445,"[0.06,0.08)",93650.0,93863.52142857143,93222.95714285714,93863.52142857143,SL,213.5214285714319,-213.5214285714319,-1.0,1.1741210316796256,0.8565884989796536
303,304,310,2026-01-06 04:00:00+00:00,2026-01-06 04:15:00+00:00,2026-01-06 05:45:00+00:00,4,2026-01-06,BEAR,-0.40233278894717167,0.04513888888888889,"[0.04,0.06)",93915.8,94101.08571428571,93545.22857142858,93545.22857142858,TP,185.28571428571013,370.57142857142026,2.0,0.27309175019271154,2.1318427139553293
320,321,323,2026-01-06 08:15:00+00:00,2026-01-06 08:30:00+00:00,2026-01-06 09:00:00+00:00,8,2026-01-06,BEAR,-0.7592004730747013,0.08680555555555555,"[0.08,0.10)",93292.9,93479.56428571428,92919.57142857142,93479.56428571428,SL,186.66428571428696,-186.66428571428696,-1.0,1.0548348830980385,0.8705468181992059
325,326,327,2026-01-06 09:30:00+00:00,2026-01-06 09:45:00+00:00,2026-01-06 10:00:00+00:00,9,2026-01-06,BEAR,-0.7519887812201448,0.03125,"[0.02,0.04)",93416.5,93611.10714285714,93027.28571428571,93611.10714285714,SL,194.60714285714494,-194.60714285714494,-1.0,1.0179482473848602,0.2923839236556836
329,330,331,2026-01-06 10:30:00+00:00,2026-01-06 10:45:00+00:00,2026-01-06 11:00:00+00:00,10,2026-01-06,BEAR,-0.4349742295614366,0.07291666666666667,"[0.06,0.08)",93547.6,93723.04285714286,93196.71428571429,93723.04285714286,SL,175.44285714285797,-175.44285714285797,-1.0,1.2425698233042852,0.4867681784871413
330,331,331,2026-01-06 10:45:00+00:00,2026-01-06 11:00:00+00:00,2026-01-06 11:00:00+00:00,10,2026-01-06,BEAR,-0.4534716135373892,0.013888888888888888,"[0.00,0.02)",93536.4,93712.9857142857,93183.22857142857,93712.9857142857,SL,176.58571428571304,-176.58571428571304,-1.0,1.2979532400291989,0.033411536283439486
396,397,412,2026-01-07 03:15:00+00:00,2026-01-07 03:30:00+00:00,2026-01-07 07:15:00+00:00,3,2026-01-07,BEAR,-0.44065237325239887,0.05555555555555555,"[0.04,0.06)",92965.5,93244.57857142857,92407.34285714285,92775.2,TIME,279.0785714285739,190.3000000000029,0.6818868214276617,0.08384735481557053,1.8188426198459262
401,402,417,2026-01-07 04:30:00+00:00,2026-01-07 04:45:00+00:00,2026-01-07 08:30:00+00:00,4,2026-01-07,BEAR,-0.6128209958582369,0.034722222222222224,"[0.02,0.04)",92736.0,92943.84285714285,92320.3142857143,92735.6,TIME,207.84285714285215,0.39999999999417923,0.0019245308955662395,0.9237748298852376,1.338030105161927
403,404,415,2026-01-07 05:00:00+00:00,2026-01-07 05:15:00+00:00,2026-01-07 08:00:00+00:00,5,2026-01-07,BEAR,-0.44582281662775086,0.03125,"[0.02,0.04)",92710.2,92908.87142857142,92312.85714285714,92908.87142857142,SL,198.67142857142608,-198.67142857142608,-1.0,1.0318544617818495,1.26993600345153
