dir_score_bin,n,mean_h4,p05_h4,win_h4
"(-0.916, -0.519]",14,-0.00040521274761474394,-0.0031772487989558894,0.35714285714285715
"(-0.519, -0.332]",14,0.00046920080000500963,-0.002063407016560359,0.21428571428571427
"(-0.332, -0.0475]",14,-0.001042110502752999,-0.006897627015541097,0.14285714285714285
"(-0.0475, 0.299]",14,-0.0003017364838682836,-0.002004162145254068,0.07142857142857142
"(0.299, 0.905]",14,0.000248884235956862,-0.003918246755028642,0.42857142857142855
