regime_case,n,avg_score,avg_size_mult
CHAOS_CONFLICT_TF,48656,0.12269812561657349,0.0
LOW_CONFIDENCE_NEUTRAL,28293,2.729721132435585,0.6383822853709398
TREND_CONTINUATION_LONG,10295,11.856046624575036,1.0
RANGE_NEUTRAL,6201,0.13497822931785197,0.25
MACRO_BULL_MICRO_BEAR,4427,3.5071154280551164,0.43838942850688956
PULLBACK_LONG_IN_BULL_TREND,4167,6.937844972402208,0.6324694024478041
TREND_CONTINUATION_SHORT,3889,-11.709951144253022,1.0
MACRO_BEAR_MICRO_BULL,2159,-3.587772116720704,0.448471514590088
PULLBACK_SHORT_IN_BEAR_TREND,1618,-6.805933250927071,0.6200556242274413
RANGE_BIASED_LONG,1134,0.2716049382716049,0.25
RANGE_BIASED_SHORT,649,-0.349768875192604,0.25
WARMUP_UNDEFINED,78,0.0,0.0
