cfg,tp_cp,tp1_fraction,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,trend_enabled,trend_d,trend_p,trend_rr,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00011_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.35_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.35,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,64,0,64,0.265625,-0.009025383974236086,0.9663410783850034,-0.5776245743511095,0.0,0.0,-0.009025383974236086,0.9663410783850034,-1.0,0.0,1.0066077114581335,0.25,0.6875,0.0625,0.0
C00038_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.35_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.35,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,64,0,64,0.265625,-0.009025383974236086,0.9663410783850034,-0.5776245743511095,0.0,0.0,-0.009025383974236086,0.9663410783850034,-1.0,0.0,1.0066077114581335,0.25,0.6875,0.0625,0.0
C00122_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.35_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.35,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,58,0,58,0.27586206896551724,-0.019610633808374387,0.9337212727812985,-1.1374167608857144,0.0,0.0,-0.019610633808374387,0.9337212727812985,-1.0,0.0,1.1834582745475208,0.27586206896551724,0.6724137931034483,0.05172413793103448,0.0
C00149_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.35_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.35,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,58,0,58,0.27586206896551724,-0.019610633808374387,0.9337212727812985,-1.1374167608857144,0.0,0.0,-0.019610633808374387,0.9337212727812985,-1.0,0.0,1.1834582745475208,0.27586206896551724,0.6724137931034483,0.05172413793103448,0.0
C00068_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.35_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.35,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,58,0,58,0.27586206896551724,-0.01965929776550117,0.9335568015474107,-1.1402392703990678,0.0,0.0,-0.01965929776550117,0.9335568015474107,-1.0,0.0,1.1834582745475208,0.27586206896551724,0.6724137931034483,0.05172413793103448,0.0
C00095_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.35_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.35,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,58,0,58,0.27586206896551724,-0.01965929776550117,0.9335568015474107,-1.1402392703990678,0.0,0.0,-0.01965929776550117,0.9335568015474107,-1.0,0.0,1.1834582745475208,0.27586206896551724,0.6724137931034483,0.05172413793103448,0.0
C00014_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.35_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.35,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,58,0,58,0.27586206896551724,-0.01970796172262796,0.9333923303135226,-1.1430617799124216,0.0,0.0,-0.01970796172262796,0.9333923303135226,-1.0,0.0,1.1834582745475208,0.27586206896551724,0.6724137931034483,0.05172413793103448,0.0
C00041_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.35_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.35,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,58,0,58,0.27586206896551724,-0.01970796172262796,0.9333923303135226,-1.1430617799124216,0.0,0.0,-0.01970796172262796,0.9333923303135226,-1.0,0.0,1.1834582745475208,0.27586206896551724,0.6724137931034483,0.05172413793103448,0.0
C00123_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.35_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.35,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,46,0,46,0.2826086956521739,-0.022999950530718398,0.9293598884842328,-1.0579977244130463,0.0,0.0,-0.022999950530718398,0.9293598884842328,-1.0,0.0,1.3217419123590677,0.30434782608695654,0.6521739130434783,0.043478260869565216,0.0
C00150_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.35_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.35,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,46,0,46,0.2826086956521739,-0.022999950530718398,0.9293598884842328,-1.0579977244130463,0.0,0.0,-0.022999950530718398,0.9293598884842328,-1.0,0.0,1.3217419123590677,0.30434782608695654,0.6521739130434783,0.043478260869565216,0.0
C00069_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.35_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.35,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,46,0,46,0.2826086956521739,-0.023061309433182582,0.9291714359174863,-1.0608202339263988,0.0,0.0,-0.023061309433182582,0.9291714359174863,-1.0,0.0,1.3217419123590677,0.30434782608695654,0.6521739130434783,0.043478260869565216,0.0
C00096_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.35_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.35,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,46,0,46,0.2826086956521739,-0.023061309433182582,0.9291714359174863,-1.0608202339263988,0.0,0.0,-0.023061309433182582,0.9291714359174863,-1.0,0.0,1.3217419123590677,0.30434782608695654,0.6521739130434783,0.043478260869565216,0.0
C00015_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.35_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.35,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,46,0,46,0.2826086956521739,-0.023122668335646804,0.9289829833507397,-1.063642743439753,0.0,0.0,-0.023122668335646804,0.9289829833507397,-1.0,0.0,1.3217419123590677,0.30434782608695654,0.6521739130434783,0.043478260869565216,0.0
