cfg,tp_cp,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C03369_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,1089,411,678,0.17998163452708907,-0.3110706966280725,0.4406055093136424,-338.75598862797096,-0.48905109489051096,0.41055718475073316,-0.20317992423004566,0.47933340233242927,-1.0,-1.0,1.1785932771831944,0.40117994100294985,0.5693215339233039,0.029498525073746312,0.0
C03372_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.25_ap0.90_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.25,0.9,1089,411,678,0.17998163452708907,-0.3110706966280725,0.4406055093136424,-338.75598862797096,-0.48905109489051096,0.41055718475073316,-0.20317992423004566,0.47933340233242927,-1.0,-1.0,1.1785932771831944,0.40117994100294985,0.5693215339233039,0.029498525073746312,0.0
C03375_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.30_ap0.90_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.3,0.9,1089,411,678,0.17998163452708907,-0.3110706966280725,0.4406055093136424,-338.75598862797096,-0.48905109489051096,0.41055718475073316,-0.20317992423004566,0.47933340233242927,-1.0,-1.0,1.1785932771831944,0.40117994100294985,0.5693215339233039,0.029498525073746312,0.0
C03531_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_MR_FIRST,0.6,1.8,True,20,MR_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,1089,411,678,0.17998163452708907,-0.3110706966280725,0.4406055093136424,-338.75598862797096,-0.48905109489051096,0.41055718475073316,-0.20317992423004566,0.47933340233242927,-1.0,-1.0,1.1785932771831944,0.40117994100294985,0.5693215339233039,0.029498525073746312,0.0
C03534_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.25_ap0.90_MR_FIRST,0.6,1.8,True,20,MR_FIRST,0.3,0.9,0.2,0.8,0.25,0.9,1089,411,678,0.17998163452708907,-0.3110706966280725,0.4406055093136424,-338.75598862797096,-0.48905109489051096,0.41055718475073316,-0.20317992423004566,0.47933340233242927,-1.0,-1.0,1.1785932771831944,0.40117994100294985,0.5693215339233039,0.029498525073746312,0.0
C03537_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.30_ap0.90_MR_FIRST,0.6,1.8,True,20,MR_FIRST,0.3,0.9,0.2,0.8,0.3,0.9,1089,411,678,0.17998163452708907,-0.3110706966280725,0.4406055093136424,-338.75598862797096,-0.48905109489051096,0.41055718475073316,-0.20317992423004566,0.47933340233242927,-1.0,-1.0,1.1785932771831944,0.40117994100294985,0.5693215339233039,0.029498525073746312,0.0
C03693_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,1089,411,678,0.17998163452708907,-0.3110706966280725,0.4406055093136424,-338.75598862797096,-0.48905109489051096,0.41055718475073316,-0.20317992423004566,0.47933340233242927,-1.0,-1.0,1.1785932771831944,0.40117994100294985,0.5693215339233039,0.029498525073746312,0.0
C03696_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.25_ap0.90_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.25,0.9,1089,411,678,0.17998163452708907,-0.3110706966280725,0.4406055093136424,-338.75598862797096,-0.48905109489051096,0.41055718475073316,-0.20317992423004566,0.47933340233242927,-1.0,-1.0,1.1785932771831944,0.40117994100294985,0.5693215339233039,0.029498525073746312,0.0
C03699_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.30_ap0.90_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.3,0.9,1089,411,678,0.17998163452708907,-0.3110706966280725,0.4406055093136424,-338.75598862797096,-0.48905109489051096,0.41055718475073316,-0.20317992423004566,0.47933340233242927,-1.0,-1.0,1.1785932771831944,0.40117994100294985,0.5693215339233039,0.029498525073746312,0.0
C03855_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_MR_FIRST,0.6,1.8,True,30,MR_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,1089,411,678,0.17998163452708907,-0.3110706966280725,0.4406055093136424,-338.75598862797096,-0.48905109489051096,0.41055718475073316,-0.20317992423004566,0.47933340233242927,-1.0,-1.0,1.1785932771831944,0.40117994100294985,0.5693215339233039,0.029498525073746312,0.0
C03858_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.25_ap0.90_MR_FIRST,0.6,1.8,True,30,MR_FIRST,0.3,0.9,0.2,0.8,0.25,0.9,1089,411,678,0.17998163452708907,-0.3110706966280725,0.4406055093136424,-338.75598862797096,-0.48905109489051096,0.41055718475073316,-0.20317992423004566,0.47933340233242927,-1.0,-1.0,1.1785932771831944,0.40117994100294985,0.5693215339233039,0.029498525073746312,0.0
C03861_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.30_ap0.90_MR_FIRST,0.6,1.8,True,30,MR_FIRST,0.3,0.9,0.2,0.8,0.3,0.9,1089,411,678,0.17998163452708907,-0.3110706966280725,0.4406055093136424,-338.75598862797096,-0.48905109489051096,0.41055718475073316,-0.20317992423004566,0.47933340233242927,-1.0,-1.0,1.1785932771831944,0.40117994100294985,0.5693215339233039,0.029498525073746312,0.0
C03296_tp0.60_sl1.8_high1_t20_d0.25_rr0.80_cp0.20_0.80_md0.20_ap0.85_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.25,0.8,0.2,0.8,0.2,0.85,1141,411,730,0.18229623137598597,-0.30955733606600855,0.4398517974193681,-353.20492045131573,-0.48905109489051096,0.41055718475073316,-0.20849989102919958,0.47435101732500534,-1.0,-1.0,1.1411192214112027,0.41506849315068495,0.5575342465753425,0.0273972602739726,0.0
C03299_tp0.60_sl1.8_high1_t20_d0.25_rr0.80_cp0.20_0.80_md0.25_ap0.85_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.25,0.8,0.2,0.8,0.25,0.85,1141,411,730,0.18229623137598597,-0.30955733606600855,0.4398517974193681,-353.20492045131573,-0.48905109489051096,0.41055718475073316,-0.20849989102919958,0.47435101732500534,-1.0,-1.0,1.1411192214112027,0.41506849315068495,0.5575342465753425,0.0273972602739726,0.0
C03302_tp0.60_sl1.8_high1_t20_d0.25_rr0.80_cp0.20_0.80_md0.30_ap0.85_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.25,0.8,0.2,0.8,0.3,0.85,1141,411,730,0.18229623137598597,-0.30955733606600855,0.4398517974193681,-353.20492045131573,-0.48905109489051096,0.41055718475073316,-0.20849989102919958,0.47435101732500534,-1.0,-1.0,1.1411192214112027,0.41506849315068495,0.5575342465753425,0.0273972602739726,0.0
C03458_tp0.60_sl1.8_high1_t20_d0.25_rr0.80_cp0.20_0.80_md0.20_ap0.85_MR_FIRST,0.6,1.8,True,20,MR_FIRST,0.25,0.8,0.2,0.8,0.2,0.85,1141,411,730,0.18229623137598597,-0.30955733606600855,0.4398517974193681,-353.20492045131573,-0.48905109489051096,0.41055718475073316,-0.20849989102919958,0.47435101732500534,-1.0,-1.0,1.1411192214112027,0.41506849315068495,0.5575342465753425,0.0273972602739726,0.0
C03461_tp0.60_sl1.8_high1_t20_d0.25_rr0.80_cp0.20_0.80_md0.25_ap0.85_MR_FIRST,0.6,1.8,True,20,MR_FIRST,0.25,0.8,0.2,0.8,0.25,0.85,1141,411,730,0.18229623137598597,-0.30955733606600855,0.4398517974193681,-353.20492045131573,-0.48905109489051096,0.41055718475073316,-0.20849989102919958,0.47435101732500534,-1.0,-1.0,1.1411192214112027,0.41506849315068495,0.5575342465753425,0.0273972602739726,0.0
C03464_tp0.60_sl1.8_high1_t20_d0.25_rr0.80_cp0.20_0.80_md0.30_ap0.85_MR_FIRST,0.6,1.8,True,20,MR_FIRST,0.25,0.8,0.2,0.8,0.3,0.85,1141,411,730,0.18229623137598597,-0.30955733606600855,0.4398517974193681,-353.20492045131573,-0.48905109489051096,0.41055718475073316,-0.20849989102919958,0.47435101732500534,-1.0,-1.0,1.1411192214112027,0.41506849315068495,0.5575342465753425,0.0273972602739726,0.0
C03620_tp0.60_sl1.8_high1_t30_d0.25_rr0.80_cp0.20_0.80_md0.20_ap0.85_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.25,0.8,0.2,0.8,0.2,0.85,1141,411,730,0.18229623137598597,-0.30955733606600855,0.4398517974193681,-353.20492045131573,-0.48905109489051096,0.41055718475073316,-0.20849989102919958,0.47435101732500534,-1.0,-1.0,1.1411192214112027,0.41506849315068495,0.5575342465753425,0.0273972602739726,0.0
C03623_tp0.60_sl1.8_high1_t30_d0.25_rr0.80_cp0.20_0.80_md0.25_ap0.85_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.25,0.8,0.2,0.8,0.25,0.85,1141,411,730,0.18229623137598597,-0.30955733606600855,0.4398517974193681,-353.20492045131573,-0.48905109489051096,0.41055718475073316,-0.20849989102919958,0.47435101732500534,-1.0,-1.0,1.1411192214112027,0.41506849315068495,0.5575342465753425,0.0273972602739726,0.0
C03626_tp0.60_sl1.8_high1_t30_d0.25_rr0.80_cp0.20_0.80_md0.30_ap0.85_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.25,0.8,0.2,0.8,0.3,0.85,1141,411,730,0.18229623137598597,-0.30955733606600855,0.4398517974193681,-353.20492045131573,-0.48905109489051096,0.41055718475073316,-0.20849989102919958,0.47435101732500534,-1.0,-1.0,1.1411192214112027,0.41506849315068495,0.5575342465753425,0.0273972602739726,0.0
C03782_tp0.60_sl1.8_high1_t30_d0.25_rr0.80_cp0.20_0.80_md0.20_ap0.85_MR_FIRST,0.6,1.8,True,30,MR_FIRST,0.25,0.8,0.2,0.8,0.2,0.85,1141,411,730,0.18229623137598597,-0.30955733606600855,0.4398517974193681,-353.20492045131573,-0.48905109489051096,0.41055718475073316,-0.20849989102919958,0.47435101732500534,-1.0,-1.0,1.1411192214112027,0.41506849315068495,0.5575342465753425,0.0273972602739726,0.0
C03785_tp0.60_sl1.8_high1_t30_d0.25_rr0.80_cp0.20_0.80_md0.25_ap0.85_MR_FIRST,0.6,1.8,True,30,MR_FIRST,0.25,0.8,0.2,0.8,0.25,0.85,1141,411,730,0.18229623137598597,-0.30955733606600855,0.4398517974193681,-353.20492045131573,-0.48905109489051096,0.41055718475073316,-0.20849989102919958,0.47435101732500534,-1.0,-1.0,1.1411192214112027,0.41506849315068495,0.5575342465753425,0.0273972602739726,0.0
C03788_tp0.60_sl1.8_high1_t30_d0.25_rr0.80_cp0.20_0.80_md0.30_ap0.85_MR_FIRST,0.6,1.8,True,30,MR_FIRST,0.25,0.8,0.2,0.8,0.3,0.85,1141,411,730,0.18229623137598597,-0.30955733606600855,0.4398517974193681,-353.20492045131573,-0.48905109489051096,0.41055718475073316,-0.20849989102919958,0.47435101732500534,-1.0,-1.0,1.1411192214112027,0.41506849315068495,0.5575342465753425,0.0273972602739726,0.0
C03297_tp0.60_sl1.8_high1_t20_d0.25_rr0.80_cp0.20_0.80_md0.20_ap0.90_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.25,0.8,0.2,0.8,0.2,0.9,1199,411,788,0.1834862385321101,-0.30558272619180826,0.43927362937175063,-366.3936887039781,-0.48905109489051096,0.41055718475073316,-0.20989046789844942,0.47061634639716105,-1.0,-1.0,1.1244155891588865,0.4137055837563452,0.5571065989847716,0.02918781725888325,0.0
C03300_tp0.60_sl1.8_high1_t20_d0.25_rr0.80_cp0.20_0.80_md0.25_ap0.90_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.25,0.8,0.2,0.8,0.25,0.9,1199,411,788,0.1834862385321101,-0.30558272619180826,0.43927362937175063,-366.3936887039781,-0.48905109489051096,0.41055718475073316,-0.20989046789844942,0.47061634639716105,-1.0,-1.0,1.1244155891588865,0.4137055837563452,0.5571065989847716,0.02918781725888325,0.0
C03303_tp0.60_sl1.8_high1_t20_d0.25_rr0.80_cp0.20_0.80_md0.30_ap0.90_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.25,0.8,0.2,0.8,0.3,0.9,1199,411,788,0.1834862385321101,-0.30558272619180826,0.43927362937175063,-366.3936887039781,-0.48905109489051096,0.41055718475073316,-0.20989046789844942,0.47061634639716105,-1.0,-1.0,1.1244155891588865,0.4137055837563452,0.5571065989847716,0.02918781725888325,0.0
