cfg,tp_cp,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,trend_enabled,trend_d,trend_p,trend_rr,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00002_US_15_20_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,78,0,78,0.2692307692307692,-0.039442547142720844,0.8546145184588211,-3.076518677132226,0.0,0.0,-0.039442547142720844,0.8546145184588211,-1.0,0.0,0.7570051608137744,0.28205128205128205,0.6666666666666666,0.05128205128205128,0.0
C00029_US_15_20_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,78,0,78,0.2692307692307692,-0.039442547142720844,0.8546145184588211,-3.076518677132226,0.0,0.0,-0.039442547142720844,0.8546145184588211,-1.0,0.0,0.7570051608137744,0.28205128205128205,0.6666666666666666,0.05128205128205128,0.0
C00018_US_15_20_tp0.60_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,41,0,41,0.2682926829268293,-0.04966730610763493,0.854309458044013,-2.036359550413032,0.0,0.0,-0.04966730610763493,0.854309458044013,-1.0,0.0,1.1390532544378302,0.3170731707317073,0.6341463414634146,0.04878048780487805,0.0
C00045_US_15_20_tp0.60_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,41,0,41,0.2682926829268293,-0.04966730610763493,0.854309458044013,-2.036359550413032,0.0,0.0,-0.04966730610763493,0.854309458044013,-1.0,0.0,1.1390532544378302,0.3170731707317073,0.6341463414634146,0.04878048780487805,0.0
C00003_US_15_20_tp0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,65,0,65,0.27692307692307694,-0.04610922524091626,0.8420691787176503,-2.997099640659557,0.0,0.0,-0.04610922524091626,0.8420691787176503,-1.0,0.0,0.8164422104553798,0.3076923076923077,0.6461538461538462,0.046153846153846156,0.0
C00030_US_15_20_tp0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,65,0,65,0.27692307692307694,-0.04610922524091626,0.8420691787176503,-2.997099640659557,0.0,0.0,-0.04610922524091626,0.8420691787176503,-1.0,0.0,0.8164422104553798,0.3076923076923077,0.6461538461538462,0.046153846153846156,0.0
C00020_US_15_20_tp0.60_sl1.8_high1_t20_d0.40_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.4,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,57,0,57,0.24561403508771928,-0.04360245350806374,0.8360714172579384,-2.4853398499596335,0.0,0.0,-0.04360245350806374,0.8360714172579384,-1.0,0.0,0.8486297763512292,0.24561403508771928,0.6842105263157895,0.07017543859649122,0.0
C00047_US_15_20_tp0.60_sl1.8_high1_t30_d0.40_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.4,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,57,0,57,0.24561403508771928,-0.04360245350806374,0.8360714172579384,-2.4853398499596335,0.0,0.0,-0.04360245350806374,0.8360714172579384,-1.0,0.0,0.8486297763512292,0.24561403508771928,0.6842105263157895,0.07017543859649122,0.0
C00005_US_15_20_tp0.60_sl1.8_high1_t20_d0.30_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.3,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,71,0,71,0.2676056338028169,-0.05518536958751935,0.8148414430338639,-3.9181612407138737,0.0,0.0,-0.05518536958751935,0.8148414430338639,-1.0,0.0,0.8956916099775188,0.30985915492957744,0.647887323943662,0.04225352112676056,0.0
C00032_US_15_20_tp0.60_sl1.8_high1_t30_d0.30_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.3,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,71,0,71,0.2676056338028169,-0.05518536958751935,0.8148414430338639,-3.9181612407138737,0.0,0.0,-0.05518536958751935,0.8148414430338639,-1.0,0.0,0.8956916099775188,0.30985915492957744,0.647887323943662,0.04225352112676056,0.0
