tf,start_ts,end_ts,overlap_hours,kijun_flat_bars,ssb_flat_bars,kijun,ssb,range_mid,mid_spread,strength
M30,2026-02-05 06:00:00+00:00,2026-02-05 08:00:00+00:00,2.0,7,5,72113.20000000001,73423.15,72768.175,1309.9499999999825,11.3948730478802
M30,2026-01-17 22:30:00+00:00,2026-01-18 00:30:00+00:00,2.0,5,6,95310.95,95299.7,95305.325,11.25,11.198678089303984
M30,2026-02-08 14:00:00+00:00,2026-02-08 16:00:00+00:00,2.0,6,5,70226.45,69907.45,70066.95,319.0,10.751052731404492
W1,2022-01-24 00:00:00+00:00,2022-05-02 00:00:00+00:00,2352.0,15,18,51026.265,48943.35,49984.807499999995,2082.915000000001,32.25586700090444
W1,2024-05-27 00:00:00+00:00,2024-07-15 00:00:00+00:00,1176.0,8,22,56213.2,49231.2,52722.2,6982.0,28.964263150666117
W1,2022-06-27 00:00:00+00:00,2022-09-19 00:00:00+00:00,2016.0,13,21,32896.6,43395.95,38146.274999999994,10499.349999999999,27.916331427543586
W1,2025-11-17 00:00:00+00:00,2026-01-19 00:00:00+00:00,1512.0,10,13,103404.25,100332.75,101868.5,3071.5,22.909249094720796
W1,2023-07-10 00:00:00+00:00,2023-08-28 00:00:00+00:00,1176.0,8,15,25685.8,23646.6,24666.199999999997,2039.2000000000007,22.536838242452834
W1,2025-02-10 00:00:00+00:00,2025-02-24 00:00:00+00:00,336.0,4,14,81255.4,79444.0,80349.7,1811.3999999999942,19.559061404971455
W1,2023-09-11 00:00:00+00:00,2023-10-16 00:00:00+00:00,840.0,6,15,28215.5,23646.6,25931.05,4568.9000000000015,19.384554400908854
W1,2025-03-17 00:00:00+00:00,2025-03-31 00:00:00+00:00,336.0,3,14,84450.0,79444.0,81947.0,5006.0,18.094630432532522
W1,2022-12-26 00:00:00+00:00,2023-02-06 00:00:00+00:00,1008.0,9,13,20321.6,31821.6,26071.6,11500.0,15.821324617530264
W1,2021-07-19 00:00:00+00:00,2021-08-23 00:00:00+00:00,840.0,14,6,46837.055,37397.345,42117.2,9439.71,15.031088558255332
W1,2023-02-20 00:00:00+00:00,2023-03-06 00:00:00+00:00,336.0,3,13,20395.4,31821.6,26108.5,11426.199999999997,12.52049436921036
W1,2025-05-19 00:00:00+00:00,2025-06-30 00:00:00+00:00,1008.0,7,7,93208.25,80423.75,86816.0,12784.5,12.202990948840618
W1,2024-12-16 00:00:00+00:00,2025-01-13 00:00:00+00:00,672.0,5,5,78627.4,73455.9,76041.65,5171.5,9.363218887581631
W1,2024-01-08 00:00:00+00:00,2024-02-05 00:00:00+00:00,672.0,5,5,36804.25,34274.55,35539.4,2529.699999999997,9.335497818440677
W1,2025-08-11 00:00:00+00:00,2025-08-25 00:00:00+00:00,336.0,7,3,99501.3,88528.20000000001,94014.75,10973.099999999991,8.238436161898735
W1,2021-01-18 00:00:00+00:00,2021-02-01 00:00:00+00:00,336.0,3,5,25967.045,22873.66,24420.3525,3093.3849999999984,7.455583269993764
W1,2024-08-12 00:00:00+00:00,2024-09-02 00:00:00+00:00,504.0,4,4,61384.7,49384.7,55384.7,12000.0,6.575344254704704
W1,2025-07-14 00:00:00+00:00,2025-07-28 00:00:00+00:00,336.0,4,3,98878.5,86094.0,92486.25,12784.5,5.974180862205314
