tf,start_ts,end_ts,overlap_hours,kijun_flat_bars,ssb_flat_bars,kijun,ssb,range_mid,mid_spread,strength
D1,2023-03-30 00:00:00+00:00,2023-04-04 00:00:00+00:00,120.0,6,11,24353.199999999997,24353.199999999997,24353.199999999997,0.0,18.0
D1,2021-08-23 00:00:00+00:00,2021-08-30 00:00:00+00:00,168.0,8,11,43945.5,39921.12,41933.31,4024.3799999999974,17.88368553771959
D1,2020-01-19 00:00:00+00:00,2020-01-27 00:00:00+00:00,192.0,9,9,8034.369999999999,7816.15,7925.259999999999,218.21999999999935,17.517655842465384
D1,2023-05-08 00:00:00+00:00,2023-05-09 00:00:00+00:00,24.0,16,4,28989.15,28769.5,28879.325,219.65000000000146,17.467148585130577
D1,2022-09-14 00:00:00+00:00,2022-09-18 00:00:00+00:00,96.0,5,12,20675.0,21850.0,21262.5,1175.0,17.436434540389968
D1,2025-06-22 00:00:00+00:00,2025-06-26 00:00:00+00:00,96.0,13,6,104384.5,102643.25,103513.875,1741.25,17.308840780912096
D1,2021-04-03 00:00:00+00:00,2021-04-07 00:00:00+00:00,96.0,5,12,56201.04,52476.025,54338.5325,3725.0149999999994,17.219564443595182
D1,2025-04-07 00:00:00+00:00,2025-04-13 00:00:00+00:00,144.0,12,7,81604.5,86944.25,84274.375,5339.75,16.92745144808366
D1,2020-08-26 00:00:00+00:00,2020-08-27 00:00:00+00:00,24.0,6,11,11494.71,10771.72,11133.215,722.9899999999998,16.902362096471848
D1,2022-09-07 00:00:00+00:00,2022-09-09 00:00:00+00:00,48.0,3,12,21850.0,21850.0,21850.0,0.0,16.799999999999997
D1,2020-02-13 00:00:00+00:00,2020-02-18 00:00:00+00:00,120.0,6,11,9393.5,8701.72,9047.61,691.7800000000007,16.721476396365684
D1,2024-04-06 00:00:00+00:00,2024-04-08 00:00:00+00:00,48.0,9,9,67340.7,62197.05,64768.875,5143.649999999994,16.675692231113096
D1,2025-11-05 00:00:00+00:00,2025-11-12 00:00:00+00:00,168.0,8,9,107634.5,112548.65,110091.575,4914.149999999994,16.465050674651195
D1,2024-11-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,168.0,8,9,83235.0,79280.0,81257.5,3955.0,16.40168989291477
D1,2020-06-22 00:00:00+00:00,2020-06-26 00:00:00+00:00,96.0,5,11,9692.84,9218.625,9455.7325,474.21500000000015,16.378596060049663
D1,2025-04-17 00:00:00+00:00,2025-04-18 00:00:00+00:00,24.0,12,6,81604.5,84714.0,83159.25,3109.5,16.19445511845251
D1,2023-03-22 00:00:00+00:00,2023-03-29 00:00:00+00:00,168.0,8,8,24201.3,24201.3,24201.3,0.0,16.0
D1,2025-12-25 00:00:00+00:00,2025-12-26 00:00:00+00:00,24.0,9,8,89170.5,94036.85,91603.675,4866.350000000006,15.95253800338499
D1,2024-04-20 00:00:00+00:00,2024-04-25 00:00:00+00:00,120.0,11,6,66215.7,66496.7,66356.2,281.0,15.932530178338828
D1,2021-01-25 00:00:00+00:00,2021-01-29 00:00:00+00:00,96.0,5,12,34962.755000000005,29840.255,32401.505000000005,5122.500000000004,15.888167907450175
D1,2021-04-10 00:00:00+00:00,2021-04-12 00:00:00+00:00,48.0,3,12,56126.04,52476.025,54301.0325,3650.0149999999994,15.741861197590946
D1,2025-08-15 00:00:00+00:00,2025-08-21 00:00:00+00:00,144.0,8,8,118197.8,114777.8,116487.8,3420.0,15.543649370599745
D1,2020-04-18 00:00:00+00:00,2020-04-22 00:00:00+00:00,96.0,5,10,6653.5,6412.905,6533.202499999999,240.59500000000025,15.43170429880728
D1,2022-08-24 00:00:00+00:00,2022-08-25 00:00:00+00:00,24.0,5,10,22971.45,22050.5,22510.975,920.9500000000007,15.37114855053522
D1,2025-12-27 00:00:00+00:00,2026-01-01 00:00:00+00:00,120.0,8,8,89481.8,94036.85,91759.32500000001,4555.050000000003,15.243302985665432
D1,2025-03-05 00:00:00+00:00,2025-03-09 00:00:00+00:00,96.0,5,10,88815.85,94100.1,91457.975,5284.25,15.12604863078144
D1,2020-05-25 00:00:00+00:00,2020-05-31 00:00:00+00:00,144.0,7,9,9010.0,8272.665,8641.3325,737.3349999999991,15.110659696593359
D1,2025-07-05 00:00:00+00:00,2025-07-08 00:00:00+00:00,72.0,4,10,104299.7,105037.45,104668.575,737.75,15.093613594819855
D1,2022-06-07 00:00:00+00:00,2022-06-11 00:00:00+00:00,96.0,5,11,30189.8,34798.5,32494.15,4608.700000000001,15.063516144986167
D1,2021-01-30 00:00:00+00:00,2021-01-31 00:00:00+00:00,24.0,4,12,35502.755000000005,29840.255,32671.505000000005,5662.500000000004,15.000219465719793
D1,2023-10-09 00:00:00+00:00,2023-10-15 00:00:00+00:00,144.0,7,8,27289.0,26750.5,27019.75,538.5,14.902985494361944
D1,2024-05-30 00:00:00+00:00,2024-06-04 00:00:00+00:00,120.0,7,8,66125.1,64335.25,65230.175,1789.8500000000058,14.794065803466948
D1,2021-03-15 00:00:00+00:00,2021-03-19 00:00:00+00:00,96.0,13,5,52476.025,45595.0,49035.5125,6881.0250000000015,14.3818348015558
D1,2020-08-31 00:00:00+00:00,2020-09-02 00:00:00+00:00,48.0,3,11,11813.21,10771.72,11292.465,1041.4899999999998,14.282722289808905
D1,2022-03-22 00:00:00+00:00,2022-03-24 00:00:00+00:00,48.0,3,10,41142.3,40075.6,40608.95,1066.7000000000044,14.031427944135242
D1,2025-06-15 00:00:00+00:00,2025-06-16 00:00:00+00:00,24.0,12,4,106132.3,102329.75,104231.025,3802.550000000003,13.893150902393078
D1,2022-01-16 00:00:00+00:00,2022-01-20 00:00:00+00:00,96.0,11,5,45872.0,49417.494999999995,47644.7475,3545.4949999999953,13.774934998598614
D1,2020-06-07 00:00:00+00:00,2020-06-10 00:00:00+00:00,72.0,13,4,9560.315,8616.6,9088.4575,943.7150000000001,13.770153374057314
D1,2025-03-02 00:00:00+00:00,2025-03-04 00:00:00+00:00,48.0,3,10,89156.29999999999,94100.1,91628.2,4943.8000000000175,13.662822350163605
D1,2024-04-26 00:00:00+00:00,2024-04-29 00:00:00+00:00,72.0,11,4,66215.7,66711.2,66463.45,495.5,13.49935923427712
D1,2020-08-22 00:00:00+00:00,2020-08-25 00:00:00+00:00,72.0,6,8,11494.71,10699.71,11097.21,795.0,13.437353023533891
D1,2026-01-14 00:00:00+00:00,2026-01-18 00:00:00+00:00,96.0,5,8,92143.55,90859.05,91501.3,1284.5,13.411725501100385
D1,2022-04-20 00:00:00+00:00,2022-04-22 00:00:00+00:00,48.0,5,8,43332.85,42667.0,42999.925,665.8499999999985,13.392616528619955
D1,2024-10-21 00:00:00+00:00,2024-10-27 00:00:00+00:00,144.0,7,7,64233.0,61038.4,62635.7,3194.5999999999985,13.320610721810471
D1,2024-04-13 00:00:00+00:00,2024-04-14 00:00:00+00:00,24.0,4,9,66271.45,62197.05,64234.25,4074.399999999994,13.164943239253011
D1,2023-11-19 00:00:00+00:00,2023-11-21 00:00:00+00:00,48.0,3,10,35924.95,32512.45,34218.7,3412.4999999999964,13.094168668551626
D1,2025-03-17 00:00:00+00:00,2025-03-18 00:00:00+00:00,24.0,8,6,87995.75,91505.0,89750.375,3509.25,13.088247995850294
D1,2024-04-09 00:00:00+00:00,2024-04-12 00:00:00+00:00,72.0,4,9,66845.2,62197.05,64521.125,4648.149999999994,13.059205116722708
