tf,start_ts,end_ts,overlap_hours,kijun_flat_bars,ssb_flat_bars,kijun,ssb,range_mid,mid_spread,strength,range_low,range_high,range_mid_box,range_width,buffer_abs,status,breakout_side,breakout_ts,bars_to_break
M30,2019-10-21 21:00:00,2019-10-22 03:30:00,6.5,24,40,8242.285,8242.285,8242.285,0.0,67.2,8164.78,8234.5,8199.64,69.72000000000025,6.972000000000026,BREAKOUT_UP,UP,2019-10-22 08:30:00,10.0
M30,2021-10-28 20:00:00,2021-10-29 07:00:00,11.0,23,40,60095.630000000005,60095.630000000005,60095.630000000005,0.0,66.4,60222.0,62641.26,61431.630000000005,2419.260000000002,241.92600000000022,ACTIVE,NONE,,
M30,2022-01-08 22:00:00,2022-01-09 07:30:00,9.5,20,42,41417.5,41417.5,41417.5,0.0,66.4,41380.0,42335.0,41857.5,955.0,95.5,BREAKOUT_UP,UP,2022-01-09 19:00:00,23.0
M30,2025-03-02 19:30:00,2025-03-03 03:00:00,7.5,20,42,89993.0,89993.0,89993.0,0.0,66.4,92380.1,94800.0,93590.05,2419.899999999994,241.98999999999944,BREAKOUT_DOWN,DOWN,2025-03-03 06:30:00,7.0
M30,2024-10-15 15:30:00,2024-10-16 02:30:00,11.0,24,39,66362.7,66362.7,66362.7,0.0,66.0,65798.2,67548.6,66673.4,1750.4000000000087,175.04000000000087,BREAKOUT_UP,UP,2024-10-16 11:00:00,17.0
M30,2024-08-25 00:30:00,2024-08-25 10:00:00,9.5,21,41,64035.85,64035.85,64035.85,0.0,66.0,63731.3,64362.1,64046.7,630.7999999999956,63.079999999999565,BREAKOUT_UP,UP,2024-08-25 22:30:00,25.0
M30,2020-06-10 18:30:00,2020-06-11 07:00:00,12.5,26,37,9848.6,9848.6,9848.6,0.0,65.2,9681.21,10015.99,9848.599999999999,334.78000000000065,33.478000000000065,BREAKOUT_DOWN,DOWN,2020-06-11 14:30:00,15.0
M30,2023-11-09 20:00:00,2023-11-10 02:30:00,6.5,21,40,36901.95,36901.95,36901.95,0.0,64.8,36150.6,36890.0,36520.3,739.4000000000015,73.94000000000015,BREAKOUT_UP,UP,2023-11-10 11:00:00,17.0
M30,2020-06-13 20:00:00,2020-06-14 08:00:00,12.0,25,37,9418.925,9418.925,9418.925,0.0,64.4,9340.0,9477.95,9408.975,137.95000000000073,13.795000000000073,ACTIVE,NONE,,
M30,2023-03-03 15:00:00,2023-03-03 22:00:00,7.0,23,38,22307.65,22721.6,22514.625,413.9499999999971,62.844550958792695,22126.0,22437.9,22281.95,311.90000000000146,31.190000000000147,ACTIVE,NONE,,
