tf,line,start_ts,end_ts,length_bars,value,duration_days
D1,kijun,2024-03-25,2024-03-30,6,66496.7,5.0
D1,kijun,2024-05-21,2024-05-26,6,64335.25,5.0
D1,kijun,2025-02-19,2025-02-24,6,98790.15,5.0
D1,kijun,2025-03-22,2025-03-27,6,85765.5,5.0
D1,kijun,2025-04-25,2025-04-30,6,85113.3,5.0
D1,kijun,2025-05-26,2025-05-31,6,102643.25,5.0
D1,kijun,2019-11-25,2019-11-29,5,8030.094999999999,4.0
D1,kijun,2019-12-25,2019-12-29,5,7113.5,4.0
D1,kijun,2020-01-08,2020-01-12,5,7447.71,4.0
D1,kijun,2020-04-18,2020-04-22,5,6653.5,4.0
D1,kijun,2020-05-07,2020-05-11,5,8272.665,4.0
D1,kijun,2020-06-22,2020-06-26,5,9692.84,4.0
D1,kijun,2020-10-05,2020-10-09,5,10654.605,4.0
D1,kijun,2021-01-25,2021-01-29,5,34962.755000000005,4.0
D1,kijun,2021-04-03,2021-04-07,5,56201.04,4.0
D1,kijun,2021-04-18,2021-04-22,5,57518.055,4.0
D1,kijun,2021-07-20,2021-07-24,5,32932.62,4.0
D1,kijun,2021-10-20,2021-10-24,5,53929.365000000005,4.0
D1,kijun,2021-11-28,2021-12-02,5,61221.85,4.0
D1,kijun,2021-12-06,2021-12-10,5,53641.97,4.0
D1,kijun,2021-12-21,2021-12-25,5,50056.94,4.0
D1,kijun,2022-03-28,2022-04-01,5,42667.0,4.0
D1,kijun,2022-04-18,2022-04-22,5,43332.85,4.0
D1,kijun,2022-05-12,2022-05-16,5,34798.5,4.0
D1,kijun,2022-05-17,2022-05-21,5,33715.5,4.0
D1,kijun,2022-06-07,2022-06-11,5,30189.8,4.0
D1,kijun,2022-06-27,2022-07-01,5,24686.6,4.0
D1,kijun,2022-08-21,2022-08-25,5,22971.45,4.0
D1,kijun,2022-09-14,2022-09-18,5,20675.0,4.0
D1,kijun,2023-02-16,2023-02-20,5,23314.0,4.0
D1,kijun,2023-07-06,2023-07-10,5,28172.5,4.0
D1,kijun,2023-09-26,2023-09-30,5,26184.0,4.0
D1,kijun,2023-10-02,2023-10-06,5,26750.5,4.0
D1,kijun,2023-10-16,2023-10-20,5,28342.5,4.0
D1,kijun,2023-12-18,2023-12-22,5,40739.65,4.0
D1,kijun,2024-07-22,2024-07-26,5,60894.6,4.0
D1,kijun,2024-09-27,2024-10-01,5,59480.4,4.0
D1,kijun,2024-11-13,2024-11-17,5,79321.70000000001,4.0
D1,kijun,2025-03-05,2025-03-09,5,88815.85,4.0
D1,kijun,2026-01-14,2026-01-18,5,92143.55,4.0
D1,kijun,2020-03-16,2020-03-19,4,6820.355,3.0
D1,kijun,2020-05-12,2020-05-15,4,8407.975,3.0
D1,kijun,2020-06-01,2020-06-04,4,9218.625,3.0
D1,kijun,2020-07-27,2020-07-30,4,10194.0,3.0
D1,kijun,2020-10-21,2020-10-24,4,11805.515,3.0
D1,kijun,2020-11-07,2020-11-10,4,13579.6,3.0
D1,kijun,2020-12-12,2020-12-15,4,18068.5,3.0
D1,kijun,2021-01-12,2021-01-15,4,32022.755,3.0
D1,kijun,2021-01-30,2021-02-02,4,35502.755000000005,3.0
D1,kijun,2021-03-27,2021-03-30,4,54135.0,3.0
D1,kijun,2021-04-14,2021-04-17,4,57719.095,3.0
D1,kijun,2021-07-14,2021-07-17,4,32701.504999999997,3.0
D1,kijun,2021-10-06,2021-10-09,4,47959.8,3.0
D1,kijun,2023-01-21,2023-01-24,4,19855.0,3.0
D1,kijun,2023-02-09,2023-02-12,4,22333.7,3.0
D1,kijun,2023-03-10,2023-03-13,4,22434.6,3.0
D1,kijun,2023-05-22,2023-05-25,4,27850.5,3.0
D1,kijun,2023-06-06,2023-06-09,4,26881.8,3.0
D1,kijun,2023-06-10,2023-06-13,4,26871.0,3.0
D1,kijun,2023-08-11,2023-08-14,4,29485.0,3.0
D1,kijun,2023-09-05,2023-09-08,4,27133.85,3.0
D1,kijun,2023-11-02,2023-11-05,4,31262.45,3.0
D1,kijun,2024-01-02,2024-01-05,4,43089.15,3.0
D1,kijun,2024-04-09,2024-04-12,4,66845.2,3.0
D1,kijun,2024-04-13,2024-04-16,4,66271.45,3.0
D1,kijun,2024-06-14,2024-06-17,4,68598.2,3.0
D1,kijun,2024-10-08,2024-10-11,4,61948.15,3.0
D1,kijun,2025-01-13,2025-01-16,4,95835.55,3.0
D1,kijun,2025-04-02,2025-04-05,4,82656.0,3.0
D1,kijun,2025-06-18,2025-06-21,4,105502.55,3.0
D1,kijun,2025-07-05,2025-07-08,4,104299.7,3.0
D1,kijun,2025-07-14,2025-07-17,4,110707.7,3.0
D1,kijun,2025-07-30,2025-08-02,4,115350.0,3.0
D1,kijun,2025-08-05,2025-08-08,4,117575.0,3.0
D1,kijun,2025-09-13,2025-09-16,4,112304.45,3.0
D1,kijun,2025-10-06,2025-10-09,4,117387.25,3.0
D1,kijun,2025-12-13,2025-12-16,4,87577.5,3.0
D1,kijun,2026-01-25,2026-01-28,4,91976.9,3.0
D1,kijun,2020-02-23,2020-02-25,3,9822.5,2.0
D1,kijun,2020-03-13,2020-03-15,3,6953.905,2.0
D1,kijun,2020-04-08,2020-04-10,3,5935.3099999999995,2.0
D1,kijun,2020-04-15,2020-04-17,3,6563.5,2.0
D1,kijun,2020-08-31,2020-09-02,3,11813.21,2.0
D1,kijun,2020-10-01,2020-10-03,3,10509.505000000001,2.0
D1,kijun,2020-11-25,2020-11-27,3,16374.595,2.0
D1,kijun,2020-12-27,2020-12-29,3,23007.42,2.0
D1,kijun,2021-01-03,2021-01-05,3,26193.625,2.0
D1,kijun,2021-04-10,2021-04-12,3,56126.04,2.0
D1,kijun,2021-10-11,2021-10-13,3,48691.79,2.0
D1,kijun,2021-10-27,2021-10-29,3,57017.645000000004,2.0
D1,kijun,2021-11-04,2021-11-06,3,60450.0,2.0
D1,kijun,2021-11-19,2021-11-21,3,62401.35,2.0
D1,kijun,2021-11-23,2021-11-25,3,62224.35,2.0
D1,kijun,2021-12-14,2021-12-16,3,50470.854999999996,2.0
D1,kijun,2021-12-18,2021-12-20,3,50169.255000000005,2.0
D1,kijun,2022-01-07,2022-01-09,3,46295.28,2.0
D1,kijun,2022-02-19,2022-02-21,3,40659.515,2.0
D1,kijun,2022-03-22,2022-03-24,3,41142.3,2.0
D1,kijun,2022-04-26,2022-04-28,3,42559.9,2.0
D1,kijun,2022-06-15,2022-06-17,3,26263.85,2.0
D1,kijun,2022-07-15,2022-07-17,3,20571.45,2.0
D1,kijun,2022-07-26,2022-07-28,3,21528.55,2.0
D1,kijun,2022-08-11,2022-08-13,3,22830.8,2.0
D1,kijun,2022-09-07,2022-09-09,3,21850.0,2.0
D1,kijun,2022-10-10,2022-10-12,3,19292.15,2.0
D1,kijun,2022-10-26,2022-10-28,3,19473.9,2.0
D1,kijun,2022-11-05,2022-11-07,3,19695.75,2.0
D1,kijun,2022-12-14,2022-12-16,3,16921.6,2.0
D1,kijun,2023-01-14,2023-01-16,3,18932.0,2.0
D1,kijun,2023-03-14,2023-03-16,3,23005.75,2.0
D1,kijun,2023-11-19,2023-11-21,3,35924.95,2.0
D1,kijun,2023-12-05,2023-12-07,3,39487.2,2.0
D1,kijun,2023-12-30,2024-01-01,3,42503.8,2.0
D1,kijun,2024-01-19,2024-01-21,3,44663.75,2.0
D1,kijun,2024-02-15,2024-02-17,3,45702.0,2.0
D1,kijun,2024-05-01,2024-05-03,3,64714.049999999996,2.0
D1,kijun,2024-06-18,2024-06-20,3,68076.9,2.0
D1,kijun,2024-07-10,2024-07-12,3,60305.05,2.0
D1,kijun,2024-07-31,2024-08-02,3,62162.05,2.0
D1,kijun,2024-08-28,2024-08-30,3,57031.7,2.0
D1,kijun,2025-01-09,2025-01-11,3,99711.3,2.0
D1,kijun,2025-02-16,2025-02-18,3,99103.4,2.0
D1,kijun,2025-03-02,2025-03-04,3,89156.29999999999,2.0
D1,kijun,2025-03-29,2025-03-31,3,84670.15,2.0
D1,kijun,2025-04-19,2025-04-21,3,81478.5,2.0
D1,kijun,2025-05-13,2025-05-15,3,94881.55,2.0
D1,kijun,2025-08-26,2025-08-28,3,116552.65,2.0
D1,kijun,2025-09-28,2025-09-30,3,113220.6,2.0
D1,kijun,2026-01-21,2026-01-23,3,92346.05,2.0
D1,kijun,2026-02-06,2026-02-08,3,78866.05,2.0
D1,ssb,2024-08-05,2024-09-18,45,59484.5,44.0
D1,ssb,2022-11-21,2022-12-26,36,18458.45,35.0
D1,ssb,2025-01-20,2025-02-24,36,99454.5,35.0
D1,ssb,2025-09-01,2025-10-04,34,115878.55,33.0
D1,ssb,2025-07-14,2025-08-12,30,110707.7,29.0
D1,ssb,2021-12-04,2021-12-31,28,55043.795,27.0
D1,ssb,2024-05-05,2024-05-29,25,64714.049999999996,24.0
D1,ssb,2025-10-10,2025-11-03,25,113862.5,24.0
D1,ssb,2023-05-12,2023-06-04,24,28405.0,23.0
D1,ssb,2023-07-13,2023-08-05,24,28313.5,23.0
D1,ssb,2024-07-05,2024-07-28,24,62736.75,23.0
D1,ssb,2020-03-13,2020-04-04,23,7080.905,22.0
D1,ssb,2022-01-25,2022-02-16,23,42493.915,22.0
