tf,start_ts,end_ts,overlap_hours,kijun_flat_bars,ssb_flat_bars,kijun,ssb,range_mid,mid_spread,strength,range_low,range_high,range_mid_box,range_width,buffer_abs,status,breakout_side,breakout_ts,bars_to_break
D1,2024-08-05 00:00:00,2024-08-23 00:00:00,432.0,19,45,59484.5,59484.5,59484.5,0.0,69.2,48888.0,65000.0,56944.0,16112.0,1611.2,ACTIVE,NONE,,
D1,2024-09-06 00:00:00,2024-09-18 00:00:00,288.0,14,45,58843.100000000006,59484.5,59163.8,641.3999999999942,64.50074174152081,52510.8,61765.0,57137.9,9254.199999999997,925.4199999999997,BREAKOUT_UP,UP,2024-09-19 00:00:00,1.0
D1,2025-01-20 00:00:00,2025-02-07 00:00:00,432.0,19,36,99454.5,99454.5,99454.5,0.0,58.4,91130.3,110000.0,100565.15,18869.699999999997,1886.9699999999998,BREAKOUT_DOWN,DOWN,2025-02-25 00:00:00,18.0
D1,2024-08-28 00:00:00,2024-08-30 00:00:00,48.0,3,45,57031.7,59484.5,58258.1,2452.800000000003,54.12136601499894,57525.0,61144.9,59334.95,3619.9000000000015,361.9900000000002,BREAKOUT_DOWN,DOWN,2024-09-05 00:00:00,6.0
D1,2022-12-25 00:00:00,2022-12-26 00:00:00,24.0,15,36,17305.0,18458.45,17881.725,1153.4500000000007,51.85511664589371,16700.0,16936.8,16818.4,236.79999999999927,23.67999999999993,BREAKOUT_DOWN,DOWN,2022-12-28 00:00:00,2.0
D1,2022-11-21 00:00:00,2022-11-30 00:00:00,216.0,10,36,18458.45,18458.45,18458.45,0.0,51.2,15443.2,17248.3,16345.75,1805.0999999999985,180.50999999999988,BREAKOUT_UP,UP,2022-12-13 00:00:00,13.0
D1,2025-02-08 00:00:00,2025-02-14 00:00:00,144.0,7,36,100565.15,99454.5,100009.825,1110.6499999999942,48.26400845130523,94003.9,98792.8,96398.35,4788.900000000009,478.8900000000009,BREAKOUT_DOWN,DOWN,2025-02-24 00:00:00,10.0
D1,2025-02-19 00:00:00,2025-02-24 00:00:00,120.0,6,36,98790.15,99454.5,99122.325,664.3500000000058,47.6804302778903,91300.0,99431.5,95365.75,8131.5,813.1500000000001,BREAKOUT_DOWN,DOWN,2025-02-25 00:00:00,1.0
D1,2025-10-10 00:00:00,2025-10-31 00:00:00,504.0,22,25,113862.5,113862.5,113862.5,0.0,47.6,101516.5,122497.0,112006.75,20980.5,2098.05,BREAKOUT_DOWN,DOWN,2025-11-14 00:00:00,14.0
D1,2025-09-01 00:00:00,2025-09-08 00:00:00,168.0,8,34,115878.55,115878.55,115878.55,0.0,47.2,107211.5,113344.3,110277.9,6132.800000000003,613.2800000000003,BREAKOUT_UP,UP,2025-09-11 00:00:00,3.0
D1,2025-09-18 00:00:00,2025-09-26 00:00:00,192.0,9,34,112543.35,115878.55,114210.95,3335.199999999997,46.63807023879557,108566.0,117875.2,113220.6,9309.199999999997,930.9199999999997,BREAKOUT_UP,UP,2025-10-02 00:00:00,6.0
